Vendor	Model	FW Ver	Notes	Buffer Read Support	Size Per Sector in Buff	Scrambled	ECC	Returns Uncorrected Data	Date Submitted	Program Version	Submitted By
Sony Optiarc	AD-7530B	NX03		3C 02 00	2384	Yes	Yes	?	2023-12-19	2023-12-12a	alisson_df
Sony Optiarc	AD-7561S	AH03		3C 02 00 F1 06	2384	Yes	Yes	?	2023-12-18	2023-12-12a	alisson_df
Sony Optiarc	AD-7580S	FX04		3C 02 00	2384	Yes	Yes	?	2023-11-14	2023-10-01a	olofolleola4
Sony Optiarc	AD-7585H	KX04		3C 02 00	2384	Yes	Yes	?	2023-11-14	2023-10-01a	olofolleola4
Sony Optiarc	AD-7710H	A833		No	No	No	No	No	2023-10-09	2023-10-01a	ehw
Sony Optiarc	AD-7930H	1.D1		No	No	No	No	No	2023-10-18	2023-10-01a	cell21633
Sony Optiarc	BC-5541H	2.81	hp	No	No	No	No	No	2023-12-18	2023-12-12a	alisson_df
Toshiba	SD-R2102			No	No	No	No	No	2023-09-30	2023-06-17	Sazpaimon
TSSTCorp	SE-208DB		does not include 11 strips of 10 byte PI data in sector	3C 02 00	2236	Yes	PO Only	?	2023-10-01	2023-09-30	Edness
TSSTCorp	SE-S084C	TU00		3C 02 00 F1 06	2384	Yes	Yes	?	2024-02-24	2023-12-12a	alisson_df
TSSTCorp	SH-216DB	D100	does not include 11 strips of 10 byte PI data in sector	3C 02 00	2236	Yes	PO Only	?	2023-12-12	2023-12-12	Sazpaimon
TSSTCorp	SH-224DB	SB01	pending investigation: PI data is stored in an accessible area in cache with 3c 02 00 but comes after 2236 sector data. the drive puts 240 sectors (15 blocks) onto cache, then at 0x83040 the drive puts pi data interweaved with potentially sync data. this data could theoretically be accessible with "3c 02 00 08 30 40 00 40 04 00" in 16388 ($4004) byte chunks, no more than that at a time (it might be preferable to do 2752 ($ac0) instead). however, this data could shift and vary from drive to drive and as the disc is being read so the data might not always be in a fixed location. 	3C 02 00	2236	Yes	PO Only	?	2023-12-12	2023-12-12	Sazpaimon
TSSTCorp	SH-224FB	SB00	does not include 11 strips of 10 byte PI data in sector	3C 02 00	2236	Yes	PO Only	?	2023-10-01	2023-10-01	Dink
TSSTCorp	SH-D162D	SB00 - Kreon		No	No	No	No	No	2023-10-30	2023-10-01a	Edness
TSSTCorp	SH-D163A	SB01	TS-H353B	No	No	No	No	No	2023-12-12	2023-12-12a	Sazpaimon
TSSTCorp	SH-D163B	SB01 - Kreon	Loads psn 030040 onto cache with READ12 at the first block for some reason. Looks like it returns 2384 bytes but the firmware might be modified to affect the start PSN in order to read Xbox discs. It's possible the normal stock firmware would work just fine with 3c 02 00.	No? See note	2384?	Yes	Yes	?	2023-12-09	2023-11-26	darksabre76
TSSTCorp	SH-S222	SB02		3C 02 00	2384	Yes	Yes	?	2023-10-08	2023-10-01a	JustAnyone
TSSTCorp	SH-S223C	SB04	"00 FF FF FF FF FF FF FF FF FF" interweaved every 181 bytes, 11/12 times? No ECC?	3C 01 00	2304	Yes	No	?	2023-09-30	2023-07-09	flashfire42
TSSTCorp	SN-108BB	D200	does not include 11 strips of 10 byte PI data in sector	3C 02 00	2236	Yes	PO Only	?	2023-10-06	2023-10-01a	bikerspade
TSSTCorp	SN-208BB	D300	does not include 11 strips of 10 byte PI data in sector	3C 02 00	2236	Yes	PO Only	?	2023-10-11	2023-10-01a	ehw
TSSTCorp	SN-208FB	D100		3C 02 00 F1 06	2236	Yes	PO Only	?	2023-12-25	2023-12-12a	registryeditor
TSSTCorp	SU-208FB	TE00		3C 02 00 F1 06	2236	Yes	PO Only	?	2024-02-24	2023-12-12a	alisson_df
TSSTCorp	SU-208GB			No	No	No	No	No	2023-09-30	2023-06-17	Deterous
TSSTCorp	TS-H552D		Takes too long to retry sectors (12 bytes/sec). Drive OPU is defective	3C 02 00	2384	Yes	Yes	?	2023-09-30	2023-06-17	Sazpaimon
TSSTCorp	TS-H653G	D200		3C 02 00	2384	Yes	Yes	?	2023-10-07	2023-10-01a	bikerspade
TSSTCorp	TS-H653Q	HC01		3C 02 00	2384	Yes	Yes	?	2023-10-30	2023-10-01a	Lazerdude
TSSTCorp	TS-L632H	D400		3C 02 00	2384	Yes	Yes	?	2023-10-04	2023-10-01a	Lazerdude
TSSTCorp	TS-L632H	TMC0		3C 02 00	2384	Yes	Yes	?	2023-12-19	2023-12-12a	alisson_df
TSSTCorp	TS-L633A	D500	for some reason does not support F1 06.	3C 02 00	2384	Yes	Yes	?	2023-12-12	2023-12-11a	Sazpaimon
TSSTCorp	TS-L633A	TM00		3C 02 00 F1 06	2384	Yes	Yes	?	2023-12-18	2023-12-12a	alisson_df
TSSTCorp	TS-L633C	AC01		3C 02 00	2384	Yes	Yes	?	2023-11-14	2023-10-01a	olofolleola4
TSSTCorp	TS-L633C	TM01		3C 02 00 F1 06	2384	Yes	Yes	?	2023-12-18	2023-12-12a	alisson_df
TSSTCorp	TS-L633F	TF01	does not include 11 strips of 10 byte PI data in sector	3C 02 00	2236	Yes	PO Only	?	2023-10-01	2023-06-17	flashfire42
TSSTCorp	TS-L633L	0400		3C 02 00	2384	Yes	Yes	?	2023-11-14	2023-10-01a	olofolleola4
TSSTCorp	TS-U633A	AC01		3C 02 00 F1 06	2384	Yes	Yes	?	2023-12-18	2023-12-12a	alisson_df
