
Perfect Digital Audio Extraction



Each CD drive reads audio discs slightly out (a number of samples), if your CD drive supports 'Accurate Stream' it will be a constant value, this value tends to be the same for each particular make and model of CD Drive. A small number of drives have [Purged] as the offset, these drives were found not to have a constant drive offset (perhaps different manufacturing batches, or firmwares), as such they have been removed from AccurateRip's drive database (should you have one of these drives, 3 matching key disks will be required to configure AccurateRip). 
This list contains submitted drive read offsets in a format compatible with dBpowerAMP Music Converter (dMC) and Exact Audio Copy (EAC).

Information: JLMS drives are listed as Lite-ON,   HL-DT-ST as LG Electronics  &  Matshita as Panasonic

CD Drive	Correction Offset	Submitted By	Percentage Agree
BENQ - SDVD LD2000	+6	3	100%
BENQ - SLIM DD SW200D	+618	1	100%
BENQ DVD - -ROM JOYBEE610	+691	1	100%
BGRIBGP - TQBWXIVS	+48	1	100%
BTC - BCE1610IM	+12	11	100%
BTC - BCE2410IM	+12	5	100%
BTC - BCE3212IM	+12	6	100%
BTC - BCE4012IM	+12	8	100%
BTC - BCE4816IM	+12	1	100%
BTC - BCO4016IM	+6	2	100%
BTC - BDV-316E	0	47	100%
BTC - CD-ROM F523E	+12	9	100%
CD-956B	+12	1	100%
CD-R-RW - 52X24X52X	+97	2	100%
CD-R-RW - CW079D CD-R-RW	+12	2	100%
CD-R-RW - CW088D CD-R-RW	+733	1	100%
CD-R-RW - CW089D CD-R-RW	+12	1	100%
CD-R-RW - CW099D CD-R-RW	+6	10	100%
CD-ROM - 52X-B0	+12	1	100%
CD-ROM - CCD-52X6S	+600	11	100%
CD-ROM - CCD-7T48	+12	2	100%
CD-ROM - Drive-F5A	+12	4	100%
CD-ROM - Drive-F5B	+12	9	100%
CD-ROM - Drive-F5D	+12	6	100%
CD-ROM - Drive-F5E	+12	19	100%
CD-ROM - Drive-G6D	+12	7	100%
CD-ROM - F565E	+12	12	100%
CD-ROM - GO-C5200E	+12	2	100%
CD-RW - 5232IA	+6	1	100%
CD-RW - 52X32-L0	+6	1	100%
CD-RW - CDR-2440MB	+12	3	100%
CD-RW - CDR-5S40	+12	5	100%
CD-RW - CDR-5W40	+12	1	100%
CD-RW - CDR-5W48	+12	10	100%
CD-RW - CDR-6S48	+6	5	100%
CD-RW - CDR-6S52	+6	31	100%
CD-RW - CDR-7S52	+6	13	100%
CD-RW - CDR-8S52	+6	3	100%
CD-RW - CDR-9V52	+6	7	100%
CD-RW - CXR-3X40	+6	3	100%
CD-RW - DX-ECDRW100	+6	8	100%
CD-RW - GO-R5232B	+6	2	100%
CDRW - 52X32X	+6	9	100%
CDRW - USB5232	+6	4	100%
CDWRITER - IDE1610	+12	6	100%
CDWRITER - IDE2410	+12	5	100%
CDWRITER - IDE3212	+12	7	100%
CDWRITER - IDE4816	+12	8	100%
CDWRITER - IDE5224	+6	79	100%
CDWRITER - IDE5232	+6	56	100%
CENDYNE - 522452AU	+6	3	100%
CENDYNE_ - 481648AX	+733	4	100%
CntxCorp - C-DVD-ROM	+6	1	100%
COMBI - RW16x10-DVD	+692	7	100%
COMBI - RW32-DVD	+692	3	66%
COMBO - 5216IA	+6	2	100%
COMBO - 52X32X52X	+6	2	100%
COMBO - BCO5232IM	+6	5	100%
COMBO - COB-2K5216	+6	3	100%
COMBO - COB-6V5216	+6	3	100%
COMBO - IDE2408SU	+6	2	100%
COMBO - IDE4016CO	+6	2	100%
COMBO - IDE4816CO	+6	3	100%
COMBO - IDE5216CO	+6	16	100%
COMBO - IDE5232CO	+6	19	100%
COMBO - USB5232	+6	1	100%
COMPAL - TSB24H1 DVD-CDRW	+6	11	100%
COMPAL - TSB24H2 DVD-CDRW	+6	1	100%
COMPAL - TSD80Y1 DVD RW	+691	3	100%
Compaq - 8120B	+594	1	100%
COMPAQ - CD-224E	+684	21	100%
COMPAQ - CD-ROM CDRU241	-24	1	100%
COMPAQ - CD-ROM CR-587	+103	1	100%
COMPAQ - CD-ROM CR-588	+103	2	100%
COMPAQ - CD-ROM CR-589	+102	1	100%
COMPAQ - CD-ROM CRD-8402B	-24	3	100%
COMPAQ - CD-ROM CRD-8484B	-491	22	100%
COMPAQ - CD-ROM CRN-8245B	-491	5	100%
COMPAQ - CD-ROM LTN403	-1164	9	100%
COMPAQ - CD-ROM LTN485	-1164	4	100%
COMPAQ - CD-ROM LTN486S	+600	62	100%
Compaq - CD-ROM SC-148E	-491	11	100%
COMPAQ - CD-ROM SN-124	+564	1	100%
COMPAQ - CRD-8322B	-24	6	100%
COMPAQ - CRD-8400B	-24	2	100%
COMPAQ - CRD-8401B	-24	1	100%
COMPAQ - CRD-8402B	-24	4	100%
COMPAQ - CRD-8481B	-24	2	100%
COMPAQ - DVD-ROM DRD8120B	+594	8	100%
Compaq - DVD-ROM DV-5700B	+116	1	100%
Compaq - DVD-ROM DV28EA01	+690	3	100%
Compaq - DVD-ROM DV28EB	+102	5	100%
Compaq - DVD-ROM DVD-113R	+691	1	100%
Compaq - DVD-ROM DVD-114	+690	6	100%
Compaq - DVD-ROM DVD-115	+690	6	100%
Compaq - DVD-ROM DVD-116	+102	6	100%
Compaq - DVD-ROM DVD-117	+102	9	100%
COMPAQ - DVD-ROM GD-2500	+564	6	100%
COMPAQ - DVD-ROM GD-8000	+667	13	100%
Compaq - DVD-ROM GDR8081N	+667	6	100%
COMPAQ - DVD-ROM GDR8160B	+102	25	100%
COMPAQ - DVD-ROM LTD163	+594	5	100%
COMPAQ - DVD-ROM SD-612B	+704	8	100%
Compaq - DVD-ROM SD-616T	+1182	4	100%
Compaq - DVD-ROM SD-C2402	-472	9	100%
Compaq - DVD-ROM SD-C2512	-472	7	100%
Compaq - DVD-ROM SD-C2612	-472	10	100%
Compaq - DVD-ROM SD-M1612	-472	8	100%
COMPAQ - DVD-ROM SR-8583	+691	1	100%
COMPAQ - DVD-ROM SR-8587	+103	1	100%
COMPAQ - SC-140S	+600	4	75%
COMPAQ - SC-148F	+600	4	100%
COMPAQ - XM-6402B	+94	1	100%
CREATIVE - CD-RW RW8438E	+86	3	100%
CREATIVE - CD4834E FC101	+12	4	100%
CREATIVE - CD4834E FC102	+12	2	100%
CREATIVE - CD5233E-N	+12	18	100%
CREATIVE - CD5233E	+12	16	100%
CREATIVE - CD821E tw960527	+961	1	100%
CREATIVE - CD-RW RW121032E	+99	4	100%
CREATIVE - CD-RW RW1210E	+688	14	100%
CREATIVE - CD-RW RW1611E	+12	2	100%
CREATIVE - CD-RW RW2410E	+12	5	100%
CREATIVE - CD-RW RW4020E	+12	1	100%
CREATIVE - CD-RW RW8432E	+355	1	100%
CREATIVE - CD4020E ST980828	+679	1	100%
CREATIVE - CD4820E CS990211	+679	3	100%
CREATIVE - CD4821E JJ990629	+12	1	100%
CREATIVE - CD5220 SB991119	+694	1	100%
CREATIVE - CD5220-F 0225	+694	3	100%
CREATIVE - CD5220E SB991026	+694	1	100%
CREATIVE - CD5230E	+12	3	100%
CREATIVE - CD5233E-CF	+696	2	100%
CREATIVE - CD5233E	+12	10	100%
CREATIVE - DVD-RAM RAM1216S	-495	1	100%
CREATIVE - DVD-ROM DVD1241E	+594	10	100%
CREATIVE - DVD-ROM DVD1242E	+704	1	100%
CREATIVE - DVD-ROM DVD1610E	+594	9	100%
CREATIVE - DVD-ROM DVD6240E	+564	29	100%
CREATIVE - DVD1240E	+691	5	100%
CREATIVE - DVD5240E-1	+691	9	100%
CREATIVE - DVD5241E	+691	1	100%
CREATIVE - DVD6630E	+691	5	100%
CREATIVE - DVD8400E	+691	15	100%
CREATIVE - DVDRW DR1620E	+12	1	100%
CREATIVE - iR CD5222E-B	+12	2	100%
CyberDrv - CB511D Combo	+6	1	100%
CyberDrv - CW018D CD-R-RW	+86	2	100%
CyberDrv - CW038D CD-R-RW	+733	25	100%
CyberDrv - CW058D CD-R-RW	+733	48	100%
CyberDrv - CW068D CD-R-RW	+733	5	100%
CyberDrv - CW078D CD-R-RW	+733	12	100%
CyberDrv - CW088D CD-R-RW	+733	28	100%
CyberDrv - CW089D CD-R-RW	+6	5	100%
CyberDrv - CW099D CD-R-RW	+6	17	100%
DAEWOO - CD-RW RW5224	+97	1	100%
DAVILON - DVD-ROM LV-1015	0	5	100%
DAVILON - LV-1015	0	5	100%
Dell - DVD+--RW DW316	+6	8	100%
Dell - DVD+--RW DW514	+103	25	100%
DELTA - OIP-SD2400A-BM	+12	1	100%
DEXPRESO - DVDRW	+6	3	100%
DEXPRESO - DVDRW D20A1P	+6	1	100%
DM126D - DVDROM '01-02-28	+564	2	100%
DM126D - DVDROM '01-11-27	+564	1	100%
DM166D - DVD-ROM	+564	4	100%
DQ1724I - BWY124C	+102	1	100%
DVD - 16X	+6	11	100%
DVD DUAL - GO-W0404A	+12	7	100%
DVD DUAL - GO-W1616B	+12	9	100%
DVD ROM - CI-BDV316E	+12	1	100%
DVD ROM - DX-DVDR100	+12	3	100%
DVD+R-RW - DX082D	+1292	6	100%
DVD-16X - BDV316B	+594	1	100%
DVD-16X - BDV316C	+12	1	100%
DVD-16X - DVD-ROM BDV316C	+12	46	100%
DVD-16X - DVD-ROM BDV316E	+12	49	100%
DVD-16X - DVD-ROM BDV316G	+6	21	100%
DVD-16X - DVD1648-BKH	+12	9	100%
DVD-16X - OEM316B	+594	18	100%
DVD-ROM - 16X	+691	26	100%
DVD-ROM - DVD-16X3H	+594	4	100%
DVD-ROM - DVD-16X6S	+12	39	100%
DVD-ROM - DVD-1S16P	+6	1	100%
DVD-ROM - DVD-7T16	+12	3	100%
DVD-ROM - LTD-16X5H	+12	3	100%
DVDR-RW - DX162D-A	+618	20	100%
DVDROM - GO-D1600B	+12	1	100%
DVDROM - GO-D1600D	+12	3	100%
DVDROM - PATA 16X48X	+6	1	100%
DVDROM -	+564	1	100%
DVDROM 1 - 0X	+564	8	100%
DVDROM 8 - X	+564	2	100%
DVDRW - 1008IB	+12	1	100%
DVDRW - 16X16	+6	22	100%
DVDRW - 16X16X5X	+6	2	100%
DVDRW - 16X16X	+6	36	100%
DVDRW - 18X18X12X	+6	18	100%
DVDRW - 20X20X12X	+6	15	100%
DVDRW - DRW-1S41	+12	4	100%
DVDRW - DRW-1S45	+12	7	100%
DVDRW - DRW-1S81	+12	4	100%
DVDRW - DRW-2S81	+12	8	100%
DVDRW - DRW-3S121	+12	1	100%
DVDRW - DRW-3S163	+12	8	100%
DVDRW - DRW-3S165	+12	7	100%
DVDRW - DRW-3S167	+12	3	100%
DVDRW - DRW-5S163	+6	11	100%
DVDRW - DRW-6S160H	+6	5	100%
DVDRW - DRW-6S160P	+6	22	100%
DVDRW - DUALS801E	+688	1	100%
DVDRW - IDE 16X	+12	300	100%
DVDRW - IDE H16X	+6	49	100%
DVDRW - IDE1004	+12	76	100%
DVDRW - IDE1008	+12	121	100%
DVDRW - IDE1108	+12	34	100%
DVDRW - LIGHTSCRIBE 18X	+6	1	100%
DVDRW - PATA 20X20X12X	+6	10	100%
DVDRW - SATA 20X20X12X	+6	21	100%
DVDRW - SATA 20X	+6	1	100%
DVDRW - SATA 24X24X12X	+48	3	100%
DVDRW - SATA 24X	+6	1	100%
DVDRW - SATA H16X	+6	3	100%
DVDRW - USB 16X	+12	43	100%
DVDRW - USB H16X	+6	7	100%
DVDRW - USB1008UI	+12	4	100%
DVDRW - USB1108	+12	4	100%
DVSKOREA - DVS-LDR DRL-200	+102	1	100%
E-IDE - CD-950E-AKU	+680	1	100%
E-IDE - CD-950E-TKU	+12	10	100%
E-IDE - CD-952E-TKU	+12	2	100%
E-IDE - CD-ROM 24X-AKOx	+679	1	100%
E-IDE - CD-ROM 32X-AKU	+1268	7	100%
E-IDE - CD-ROM 36X-AKU	+1268	4	100%
E-IDE - CD-ROM 36X-AKW	+1268	2	100%
E-IDE - CD-ROM 40X-AKH	+106	1	100%
E-IDE - CD-ROM 40X-AKU	+1268	12	100%
E-IDE - CD-ROM 48X-AKH	+106	1	100%
E-IDE - CD-ROM 48X-TKU	+12	4	100%
E-IDE - CD-ROM 50X L	+108	3	100%
E-IDE - CD-ROM 50X	+682	3	100%
E-IDE - CD-ROM 52X L	+682	5	80%
E-IDE - CD-ROM 52X-AKH	+106	30	100%
E-IDE - CD-ROM 56X L	+682	2	100%
E-IDE - CD-ROM 56X-AKH	+106	11	100%
E-IDE - CD-ROM 56X	+682	1	100%
E-IDE - CD-ROM CR-856E	+12	1	100%
E-IDE - CD-ROM Max 54X	+12	1	100%
E-IDE - DVD-ROM DVD-8210	+594	1	100%
E-IDE CD - -952E-AKV	+691	8	100%
E-IDE CD - -956E-AKV	+691	8	100%
EPO - CR-844S	+12	1	100%
eSATA - CDDVDW SH-S202N	+6	1	100%
eSATA - DVD-RAM GSA-H55L	+102	1	100%
ezDISK - EZ360	+6	1	100%
FREECOM - CDRW52J	+6	18	100%
FREECOM_ - BDCOMBO12H	+6	5	100%
FREECOM_ - BDCOMBO8H	+6	2	100%
FREECOM_ - Combo48K	+6	1	100%
FREECOM_ - DVD+--RW16B6	+48	4	100%
FREECOM_ - DVD+--RW16B9	+48	31	100%
FREECOM_ - DVD+--RW16H4	+48	2	100%
FREECOM_ - DVD+--RW16H8	+6	9	100%
FREECOM_ - DVD+--RW16J6	+6	3	100%
FREECOM_ - DVD+--RW16J8	+6	5	100%
FREECOM_ - DVD+--RW16J9	+6	9	100%
FREECOM_ - DVD+--RW16N8	+6	1	100%
FREECOM_ - DVD+--RW16N9	+704	13	100%
FREECOM_ - DVD+--RW18H9	+6	13	100%
FREECOM_ - DVD+--RW18J9	+6	5	100%
FREECOM_ - DVD+--RW20J5	+6	21	100%
FREECOM_ - DVD+--RW20J6	+6	17	100%
FREECOM_ - DVD+--RW20J7	+6	7	100%
FREECOM_ - DVD+--RW20J8	+6	1	100%
FREECOM_ - DVD+--RW20J9	+6	8	100%
FREECOM_ - DVD+--RW22J8	+6	5	100%
FREECOM_ - DVD+--RW22J9	+6	3	100%
FREECOM_ - DVD+--RW22JS8	+6	2	100%
FREECOM_ - DVD+--RW4B	+48	3	100%
FREECOM_ - DVD+--RW8B9	+48	7	100%
FREECOM_ - DVD+--RW8J1	+12	4	100%
FREECOM_ - DVD+--RW8J	+12	1	100%
FREECOM_ - DVDRW22H9	+697	2	100%
FREECOM_ - DVDRW24H8	+6	3	100%
GENERIC - CDRCB02	+690	5	100%
GENERIC - CDRCB03	+102	1	100%
GENERIC - CDRCB04	+102	1	100%
GENERIC - CDRCB05	+102	15	100%
GENERIC - CDRCB06	+102	7	100%
GENERIC - CRD-BP1300P	+688	5	100%
GENERIC - CRD-BP1400P	+688	3	100%
GENERIC - CRD-BP1500P	+688	8	100%
GENERIC - CRD-BP1600P	+688	5	100%
GENERIC - CRD-BP1700P	+688	4	100%
GENERIC - CRD-BP3	+688	4	100%
GENERIC - CRD-BP4	+688	1	100%
GENERIC - CRD-BP5	+688	1	100%
GENERIC - DSW2080	+691	1	100%
GENERIC - DVD RW 12XMax	+691	3	100%
GENERIC - DVD RW 16XMax	+691	11	100%
GENERIC - DVD RW 4XMax	+688	5	100%
GENERIC - DVD RW 8XMax	+689	18	100%
GENERIC - DVD+RW 4XMax	+688	3	100%
GENERIC - DVD-RAM MLT04	+102	2	100%
GENERIC - DVD-RAM MLT05	+102	4	100%
GENERIC - FREECOM16B	+685	1	100%
GENERIC - FREECOM24B	+685	8	100%
GENERIC - FREECOM32A	+688	7	100%
GENERIC - FREECOM40B1	+685	3	100%
Generic_ - DVD-ROM	0	5	100%
GFO - 2VS1EJW	+12	1	100%
GIGABYTE - GO-B5232A	+6	4	100%
GIGABYTE - GO-B5232C	+6	4	100%
GIGABYTE - GO-D1600A	+12	1	100%
GIGABYTE - GO-D1600C	+12	4	100%
GIGABYTE - GO-R5232A	+6	6	100%
GIGABYTE - GO-W0808A	+12	3	100%
GIGABYTE - GO-W1608A	+6	2	100%
GIGABYTE - GO-W1623A	+6	5	100%
GIGABYTE - GO-W20MA	+6	1	100%
GIGABYTE - GO-W20MB	+6	1	100%
GoldStar - CD-ROM CRD-8322B	-24	5	100%
GoldStar - CD-ROM CRD-8482B	-24	3	100%
GoldStar - CD-ROM CRN-8243B	-24	1	100%
GoldStar - CD-RW CED-8080B	+86	2	100%
GoldStar - CD-RW CED-8120B	+685	3	100%
HIGH - SPEED CD ROM	+600	3	100%
HITACHI - CDR-8335	+1272	11	100%
HITACHI - CDR-8435	+684	1	100%
HITACHI - DVD-RAM GF-2050	+667	1	100%
HITACHI - DVD-ROM GD-2500	+564	46	100%
HITACHI - DVD-ROM GD-3000	+667	2	100%
HITACHI - DVD-ROM GD-5000	+667	44	100%
HITACHI - DVD-ROM GD-7000	+667	15	100%
HITACHI - DVD-ROM GD-7500	+667	44	100%
HITACHI - DVD-ROM GD-8000	+667	26	100%
HITACHI - DVD-ROM GD-S200	+667	21	100%
HITACHI - DVD-ROM GD-S250	+667	10	100%
HITACHI - DVD-ROM GD-SS20	+667	1	100%
HL)DP-ST - RW+DRD GCC)M10J	+102	1	100%
hp - BD B DH8B2LH	+6	13	100%
hp - BD B DH8B2SHB	+6	10	100%
hp - BD B DH8E2L	+6	27	100%
hp - BD E DC6E2LHB	+6	2	100%
hp - BD E DH12E3LH	+702	2	100%
hp - BD E DH12E3SHB	+702	32	100%
hp - BD E DL4ETS	+6	2	100%
hp - BD O DH4O3S	+696	14	100%
hp - BD CMB UJ141AF	+103	27	100%
hp - BD CMB UJ160	+103	24	100%
hp - BD CMB UJ162	+103	10	100%
HP - BD Combo 240d	+6	24	100%
HP - BD COMBO bd530s	+6	7	100%
hp - BD DRV BD-5841H5	+48	3	100%
hp - BD DRV BD-5850H5	+48	1	100%
hp - BD E DS6E2LH	+6	25	100%
hp - BD E DS6E2SH	+6	5	100%
hp - BD MLT UJ240	+103	10	100%
hp - BD MLT UJ240AF	+103	20	100%
hp - BD MLT UJ260	+103	5	100%
hp - BD MLT UJ260AF	+103	3	100%
hp - BD MLT UJ262	+103	4	100%
hp - BD ROM BC-5500S	+48	13	100%
hp - BD ROM BC-5501H	+48	54	100%
hp - BD ROM BC-5501S	+48	5	100%
hp - BD ROM BC-5541H	+48	44	100%
hp - BD ROM BC-5550H	+48	33	100%
hp - BD ROM BC-5600S	+48	2	100%
hp - BD RW BD-5730H	+48	6	100%
hp - BD RW BD-5740H	+48	4	100%
hp - BD RW BD-5750H	+48	18	100%
HP - BD Writer bd335e	+6	4	100%
HP - BD Writer bd335i	+6	12	100%
HP - BD Writer bd340i	+6	49	100%
hp - BD-RE BH20L	+667	40	100%
hp - BD-RE BH30L	+667	51	100%
hp - BD-RE BH38L	+667	7	100%
hp - BD-RE BH40L	+6	3	100%
hp - BD-RE BH40N	+6	12	100%
hp - BD-RE BT10N	+667	2	100%
hp - BD-RE BT11N	+667	14	100%
hp - BD-RE BT20N	+667	5	60%
hp - BD-RE BT30N	+667	2	100%
hp - BD-RE BU10N	+6	3	100%
hp - BD-RE BU20N	+6	1	100%
hp - BD-ROM BDCTD03HA	+667	15	100%
hp - BDCMB UJ172	+103	1	100%
hp - BDDVDRW CA21N	+102	27	100%
hp - BDDVDRW CA30N	+102	2	100%
hp - BDDVDRW CA30P	+102	18	100%
hp - BDDVDRW CH10L	+667	8	100%
hp - BDDVDRW CH20L	+667	115	100%
hp - BDDVDRW CH28N	+667	26	100%
hp - BDDVDRW CH30L	+6	22	100%
hp - BDDVDRW CT10L	+667	26	100%
hp - BDDVDRW CT21L	+102	68	100%
hp - BDDVDRW CT30K	+102	11	100%
hp - BDDVDRW CT30L	+102	14	100%
hp - BDDVDRW CT40N	+102	21	100%
hp - BDDVDRW CT41N	+102	3	100%
hp - BDDVDRW CU20N	+6	1	100%
hp - BDRW BR-TD01HA	+667	3	100%
hp - BDRW BU20N	+6	1	100%
hp - BDRW UJ272	+103	3	100%
HP - CD Writer 52r	+6	5	100%
HP - CD-ROM CD32X	+679	1	100%
HP - CD-ROM CD40X	+676	2	100%
HP - CD-Writer cd16b	+12	11	100%
HP - CD-Writer cd16e	+12	1	100%
HP - CD-Writer cd16f	+733	23	100%
HP - CD-Writer cd16n	+685	1	100%
HP - CD-Writer cd16r	+12	10	100%
HP - CD-Writer cd4f	+674	1	100%
HP - CD-Writer+ 7100	+675	5	100%
HP - CD-Writer+ 7200	+1263	2	100%
HP - CD-Writer+ 7500	+1160	5	100%
HP - CD-Writer+ 8000	+686	5	100%
HP - CD-Writer+ 8100	+1160	29	100%
HP - CD-Writer+ 8200	+1160	32	100%
HP - CD-Writer+ 8200a	+572	14	100%
HP - CD-Writer+ 8200f	+674	4	100%
HP - CD-Writer+ 8290	+686	14	100%
HP - CD-Writer+ 9100	+572	80	100%
HP - CD-Writer+ 9100b	+86	15	100%
HP - CD-Writer+ 9100c	-436	3	100%
HP - CD-Writer+ 9200	+572	14	100%
HP - CD-Writer+ 9300	+572	25	100%
HP - CD-Writer+ 9500	+572	17	100%
HP - CD-Writer+ 9500b	+685	6	100%
HP - CD-Writer+ 9600	+572	9	100%
HP - CD-Writer+ 9700k	+733	3	100%
hp - CDDVDW GP60NB50	+6	18	100%
hp - CDDVDW GP60NB60	+6	6	100%
hp - CDDVDW SH-216AL	+6	7	100%
hp - CDDVDW SH-216ALN	+6	53	100%
hp - CDDVDW SH-216BB	+6	59	100%
hp - CDDVDW SH-216DB	+6	57	100%
hp - CDDVDW SN-208BB	+6	146	100%
hp - CDDVDW SN-208DB	+6	59	100%
hp - CDDVDW SN-208FB	+6	20	100%
hp - CDDVDW SU-208BB	+6	6	100%
hp - CDDVDW SU-208CB	+6	26	100%
hp - CDDVDW SU-208FB	+6	28	100%
hp - CDDVDW SU-208GB	+6	3	100%
hp - CDDVDW TS-H653R	+6	386	100%
hp - CDDVDW TS-H653T	+6	140	100%
hp - CDDVDW TS-H653TN	+6	33	100%
hp - CDDVDW TS-L633J	+6	47	100%
hp - CDDVDW TS-L633M	+6	113	100%
hp - CDDVDW TS-L633N	+6	380	100%
hp - CDDVDW TS-L633R	+6	289	100%
hp - CDDVDW TS-T633C	+6	4	100%
hp - CDDVDW TS-T633L	+6	3	100%
hp - CDDVDW TS-T633P	+6	12	100%
hp - CDDVDW TS-T633PN	+6	4	100%
hp - CDDVDW TS-U633F	+6	13	100%
hp - CDDVDW TS-U633J	+6	45	100%
hp - DVD A DC8A2LH	+6	1	100%
hp - DVD A DC8A2SH	+6	1	100%
hp - DVD A DH16AAL	+6	256	100%
hp - DVD A DH16ABLH	+6	158	100%
hp - DVD A DH16ABSH	+6	79	100%
hp - DVD A DH16ACSH	+6	26	100%
hp - DVD A DH16ACSHR	+6	66	100%
hp - DVD A DH16AESH	+6	16	100%
hp - DVD A DH16AFSH	+6	3	100%
hp - DVD A DL8A4SH	+6	7	100%
hp - DVD A DL8ATL	+6	11	100%
hp - DVD A DS8A4LH	+6	11	100%
hp - DVD A DS8A5LH	+6	145	100%
hp - DVD A DS8A5SH	+6	2	100%
hp - DVD A DS8A8SH	+6	128	100%
hp - DVD A DS8A9SH	+6	33	100%
hp - DVD A DS8ABSH	+6	3	100%
hp - DVD A DU8A5SH	+6	33	100%
hp - DVD D DH16D5S	+6	34	100%
hp - DVD D DH16D6SH	+6	4	100%
hp - DVD D DH16D7SH	+6	1	100%
hp - DVD D DS8D3SH	+6	1	100%
hp - DVD RAM UJ892	+102	11	100%
hp - DVD RAM UJ897	+102	24	100%
hp - DVD RAM UJ8A2	+102	13	92%
hp - DVD RAM UJ8A7	+102	4	100%
hp - DVD RAM UJ8B2	+102	10	100%
hp - DVD RAM UJ8C2	+103	27	100%
hp - DVD RAM UJ8E0	+103	1	100%
hp - DVD RAM UJ8E2	+103	8	100%
HP - DVD ROM 435r	+6	5	100%
HP - DVD ROM 455d	+6	1	100%
HP - DVD ROM 465d	+6	1	100%
HP - DVD ROM 465r	+6	5	100%
hp - DVD RW AD-7250H5	+48	13	100%
hp - DVD RW AD-7251H5	+48	103	100%
hp - DVD RW AD-7290H5	+48	4	100%
hp - DVD RW AD-7290HR	+48	5	100%
hp - DVD RW AD-7561S	+6	74	100%
hp - DVD RW AD-7581S	+6	39	100%
hp - DVD RW AD-7586H	+6	116	100%
hp - DVD RW AD-7691H6	+48	2	100%
hp - DVD RW AD-7701H	+48	134	100%
hp - DVD RW AD-7711H	+48	74	100%
hp - DVD RW AD-7721H	+48	14	100%
hp - DVD RW AD-7740H	+48	22	100%
hp - DVD RW AD-7760H	+48	11	100%
hp - DVD RW AD-7930H	+48	5	100%
HP - DVD Writer 100j	+120	6	100%
HP - DVD Writer 1035r	+6	9	100%
HP - DVD Writer 1040d	+6	142	100%
HP - DVD Writer 1040r	+6	135	100%
HP - DVD Writer 1060d	+6	12	100%
HP - DVD Writer 1060r	+6	12	100%
HP - DVD Writer 1070d	+6	58	100%
HP - DVD Writer 1070r	+6	25	100%
HP - DVD Writer 1135r	+6	3	100%
HP - DVD Writer 1140d	+6	18	100%
HP - DVD Writer 1140i	+6	1	100%
HP - DVD Writer 1140r	+6	27	100%
HP - DVD Writer 1160d	+6	11	100%
HP - DVD Writer 1170d	+6	44	100%
HP - DVD Writer 1170r	+6	31	100%
HP - DVD Writer 1260d	+6	59	100%
HP - DVD Writer 1260r	+48	35	100%
HP - DVD Writer 1260t	+6	110	100%
HP - DVD Writer 1260v	+6	31	100%
HP - DVD Writer 1265d	+48	14	100%
HP - DVD Writer 1265t	+6	3	100%
HP - DVD Writer 1265v	+6	1	100%
HP - DVD Writer 1270d	+6	121	100%
HP - DVD Writer 1270e	+6	23	100%
HP - DVD Writer 1270r	+48	39	100%
HP - DVD Writer 1270t	+6	60	100%
HP - DVD Writer 200j	+120	62	100%
HP - DVD Writer 300c	+1292	44	100%
HP - DVD Writer 300n	+48	139	100%
HP - DVD Writer 400c	+1292	51	100%
HP - DVD Writer 420n	+48	26	100%
HP - DVD Writer 520n	+48	1	100%
HP - DVD Writer 530r	+12	13	100%
HP - DVD Writer 550r	+6	12	100%
HP - DVD Writer 550t	+6	6	100%
HP - DVD Writer 555r	+6	7	100%
HP - DVD Writer 555s	+6	7	100%
HP - DVD Writer 556s	+6	30	100%
HP - DVD Writer 557r	+6	9	100%
HP - DVD Writer 557s	+6	9	100%
HP - DVD Writer 560r	+6	10	100%
HP - DVD Writer 565s	+6	10	100%
HP - DVD Writer 600r	+6	9	100%
HP - DVD Writer 600y	+6	3	100%
HP - DVD Writer 630c	+618	56	100%
HP - DVD Writer 635d	+12	6	100%
HP - DVD Writer 640b	+102	85	100%
HP - DVD Writer 640c	+618	178	100%
HP - DVD Writer 640v	+618	31	100%
HP - DVD Writer 735d	+6	1	100%
HP - DVD Writer 740b	+102	126	100%
HP - DVD Writer 740e	+102	10	100%
HP - DVD Writer 740r	+6	6	100%
HP - DVD Writer 840b	+102	70	100%
HP - DVD Writer 840d	+6	36	100%
HP - DVD Writer 840e	+102	20	100%
HP - DVD Writer 840x	+102	23	100%
HP - DVD Writer 840y	+102	6	100%
HP - DVD Writer 940d	+6	98	100%
hp - DVD-RAM GH40L	+667	303	100%
hp - DVD-RAM GH60L	+667	243	100%
hp - DVD-RAM GH80N	+667	108	100%
hp - DVD-RAM GH82N	+667	59	100%
hp - DVD-RAM GHA3N	+667	40	100%
hp - DVD-RAM GHB0N	+6	31	100%
hp - DVD-RAM GHC0N	+6	7	100%
hp - DVD-RAM SW810	+6	21	100%
hp - DVD-RAM SW810A	+6	3	100%
hp - DVD-RAM SW820	+6	32	100%
hp - DVD-RAM SW830	+6	18	100%
hp - DVD-RAM UJ8B1	+6	130	100%
hp - DVD-RAM UJ8D1	+6	61	100%
hp - DVD-RAM UJ8DB	+6	23	100%
hp - DVD-RAM UJ8E1	+6	5	100%
hp - DVD-ROM DT30N	+103	5	100%
hp - DVD-ROM DT31N	+103	1	100%
hp - DVD-ROM DT50N	+103	2	100%
