
Perfect Digital Audio Extraction



Each CD drive reads audio discs slightly out (a number of samples), if your CD drive supports 'Accurate Stream' it will be a constant value, this value tends to be the same for each particular make and model of CD Drive. A small number of drives have [Purged] as the offset, these drives were found not to have a constant drive offset (perhaps different manufacturing batches, or firmwares), as such they have been removed from AccurateRip's drive database (should you have one of these drives, 3 matching key disks will be required to configure AccurateRip). 
This list contains submitted drive read offsets in a format compatible with dBpowerAMP Music Converter (dMC) and Exact Audio Copy (EAC).

Information: JLMS drives are listed as Lite-ON,   HL-DT-ST as LG Electronics  &  Matshita as Panasonic

CD Drive	Correction Offset	Submitted By	Percentage Agree
ATAPI - DVD A DH16A6S	+6	214	100%
ATAPI - DVD A DH16AAL	+6	33	100%
ATAPI - DVD A DH16AAS	+6	33	100%
ATAPI - DVD A DH16AASH	+6	314	100%
ATAPI - DVD A DH16ABS	+6	6	100%
ATAPI - DVD A DH16ABSH	+6	177	100%
ATAPI - DVD A DH16ACSH	+6	23	100%
ATAPI - DVD A DH16AESH	+6	2	100%
ATAPI - DVD A DH16AYH	+6	37	100%
ATAPI - DVD A DH18A1P	+6	22	100%
ATAPI - DVD A DH18A3P	+6	2	100%
ATAPI - DVD A DH20A1H	+6	6	100%
ATAPI - DVD A DH20A1L	+6	31	100%
ATAPI - DVD A DH20A1P	+6	46	100%
ATAPI - DVD A DH20A1S	+6	84	100%
ATAPI - DVD A DH20A3H	+6	116	100%
ATAPI - DVD A DH20A3L	+6	29	100%
ATAPI - DVD A DH20A3P	+6	161	100%
ATAPI - DVD A DH20A3S	+6	81	100%
ATAPI - DVD A DH20A4H	+6	231	100%
ATAPI - DVD A DH20A4P	+6	689	100%
ATAPI - DVD A DH20A6L	+6	4	100%
ATAPI - DVD A DH20A6LE	+6	4	100%
ATAPI - DVD A DH20A6S	+6	14	100%
ATAPI - DVD A DH22A8S	+6	2	100%
ATAPI - DVD A DH22A9P	+6	10	100%
ATAPI - DVD A DH22AWP	+6	2	100%
ATAPI - DVD A DH24AAS	+6	30	100%
ATAPI - DVD A DH24ABS	+6	55	100%
ATAPI - DVD A DH24ACSH	+6	22	100%
ATAPI - DVD A DH24ADSH	+6	1	100%
ATAPI - DVD A DH24AFSH	+6	1	100%
ATAPI - DVD A DH24AYL	+48	14	100%
ATAPI - DVD A DH24AYS	+48	12	100%
ATAPI - DVD A LH-1H18A	+6	2	100%
ATAPI - DVD A LH-1P20A	+6	3	100%
ATAPI - DVD A DH16ABS	+6	7	100%
ATAPI - DVD A DH18A3L	+6	1	100%
ATAPI - DVD C DH48C1P	+6	5	100%
ATAPI - DVD C DH48C2S	+6	22	100%
ATAPI - DVD C DH48CYS	+6	5	100%
ATAPI - DVD C DH52C1P	+6	2	50%
ATAPI - DVD C DH52C2P	+6	37	100%
ATAPI - DVD C DH52C2S	+6	14	100%
ATAPI - DVD C DH52C2S	+6	1	100%
ATAPI - DVD D DH16D1P	+6	6	100%
ATAPI - DVD D DH16D1S	+6	12	100%
ATAPI - DVD D DH16D2P	+6	129	100%
ATAPI - DVD D DH16D2S	+6	135	100%
ATAPI - DVD D DH16D3P	+6	24	100%
ATAPI - DVD D DH16D3S	+6	74	100%
ATAPI - DVD D DH16D4S	+6	2	100%
ATAPI - DVD D DH16D5S	+6	15	100%
ATAPI - DVD D DH16D5SH	+6	2	100%
ATAPI - DVD D DH16D6SH	+6	1	100%
ATAPI - DVD D DH16DYP	+6	15	100%
ATAPI - DVD D DH16DYS	+6	14	100%
ATAPI - DVD D DH18D4P	+6	1	100%
ATAPI - DVD D DH18D5S	+6	1	100%
ATAPI - DVD DC 16X8X5	+102	55	100%
ATAPI - DVD DC 8X16X8X	+102	4	100%
ATAPI - DVD DD 2X16X4X16	+618	132	100%
ATAPI - DVD DD 8X16X8X16	+618	9	100%
ATAPI - DVD DUAL 16X4X12	+618	7	100%
ATAPI - DVD DUAL 4XMax	+689	12	100%
ATAPI - DVD DUAL 8X4X12	+1292	72	100%
ATAPI - DVD DW 8X16X8X16	+618	55	100%
ATAPI - DVD LS 8X16X8X16	+30	10	100%
ATAPI - DVD RW 12XMax	+691	1	100%
ATAPI - DVD RW 16XMax	+691	1	100%
ATAPI - DVD RW 4XMax	+688	4	100%
ATAPI - DVD RW 8XMax	+689	25	100%
ATAPI - DVD RW	+618	6	100%
ATAPI - DVD W DH16W1P	+6	63	100%
ATAPI - DVD W DH16W1S	+6	10	100%
ATAPI - DVD W DH16WZS	+618	1	100%
ATAPI - DVD+--R-RW8XMAX	+12	8	100%
ATAPI - DVD+RW 4X4X12	+1292	13	100%
ATAPI - DVD+RW 8X4X12	+1292	22	100%
ATAPI - DVD+RW	+1292	1	100%
ATAPI - DVD-ROM 16XMax	+12	86	100%
ATAPI - DVD-ROM STAR2000	+564	4	100%
ATAPI - eHAU324 A	+6	87	100%
ATAPI - eHAU424 A	+6	19	100%
ATAPI - eHBU212 2	+6	30	100%
ATAPI - eHBU312 2	+6	7	100%
ATAPI - iHAP122 8	+6	38	100%
ATAPI - iHAP122 9	+6	65	100%
ATAPI - iHAP122 W	+6	50	100%
ATAPI - iHAP222 8	+6	6	100%
ATAPI - iHAP222 9	+6	25	100%
ATAPI - iHAP222 W	+6	3	100%
ATAPI - iHAP322 8	+6	75	100%
ATAPI - iHAP322 9	+6	62	100%
ATAPI - iHAP322 W	+6	7	100%
ATAPI - iHAP422 8	+6	48	100%
ATAPI - iHAP422 9	+6	76	100%
ATAPI - iHAP422 W	+6	15	100%
ATAPI - iHAS120 6	+6	326	100%
ATAPI - iHAS120 D	+6	15	100%
ATAPI - iHAS120 X	+48	32	100%
ATAPI - iHAS122 8	+6	52	100%
ATAPI - iHAS122 A	+6	1	100%
ATAPI - iHAS122 B	+6	9	100%
ATAPI - iHAS122 C	+6	61	100%
ATAPI - iHAS122 E	+6	16	100%
ATAPI - iHAS122 W	+48	31	100%
ATAPI - iHAS122	+6	188	100%
ATAPI - iHAS124 A	+6	101	100%
ATAPI - iHAS124 B	+6	753	100%
ATAPI - iHAS124 C	+6	155	100%
ATAPI - iHAS124 D	+6	152	100%
ATAPI - iHAS124 E	+6	200	100%
ATAPI - iHAS124 F	+6	47	100%
ATAPI - iHAS124 W	+48	265	100%
ATAPI - iHAS124 Y	+48	344	100%
ATAPI - iHAS220 6	+6	117	100%
ATAPI - iHAS222 8	+6	36	100%
ATAPI - iHAS224 B	+6	124	100%
ATAPI - iHAS224 Y	+48	45	100%
ATAPI - iHAS320	+6	6	100%
ATAPI - iHAS322 8	+6	90	100%
ATAPI - iHAS324 A	+6	234	100%
ATAPI - iHAS324 B	+6	407	100%
ATAPI - iHAS324 C	+6	60	100%
ATAPI - iHAS324 E	+6	65	100%
ATAPI - iHAS324 F	+6	22	100%
ATAPI - iHAS324 W	+48	51	100%
ATAPI - iHAS324 Y	+48	366	100%
ATAPI - iHAS422 8	+6	146	100%
ATAPI - iHAS424 A	+6	108	100%
ATAPI - iHAS424 Y	+48	252	100%
ATAPI - iHAS524 A	+6	168	100%
ATAPI - iHAS524 B	+6	222	100%
ATAPI - iHAS524 C	+6	9	100%
ATAPI - iHAS524 D	+6	76	100%
ATAPI - iHAS624 A	+6	4	100%
ATAPI - iHAS624 B	+6	488	100%
ATAPI - iHBS112 2	+6	607	100%
ATAPI - iHBS212 2	+6	289	100%
ATAPI - iHBS312 2	+6	92	100%
ATAPI - iHDP118 2	+6	6	100%
ATAPI - iHDP118 4	+6	45	100%
ATAPI - iHDS118 2	+6	8	100%
ATAPI - iHDS118 4	+6	33	100%
ATAPI - iHDS118 5	+6	77	100%
ATAPI - iHDS118 6	+6	28	100%
ATAPI - iHDS118 7	+6	13	100%
ATAPI - iHDS118 8	+6	2	100%
ATAPI - iHES106 2	+6	62	100%
ATAPI - iHES112 3	+702	126	100%
ATAPI - iHES206 2	+6	17	100%
ATAPI - iHES208 2	+6	190	100%
ATAPI - iHES212 3	+702	61	100%
ATAPI - iHES312 3	+702	14	100%
ATAPI - iHOS104	+696	769	100%
ATAPI - 12X DVD-ROM	+594	2	100%
ATAPI - 40X CDROM	+12	1	100%
ATAPI - 48X CDROM	+12	8	100%
ATAPI - 50X CDROM	+12	1	100%
ATAPI - 52X CDROM	+12	12	100%
ATAPI 16 - X DVDROM VA100	+738	1	100%
ATAPI CD - ROM	+12	1	100%
ATAPI CD - -ROM	+12	1	100%
ATAPI CD - ROM DRIVE 50MAX	+12	1	100%
ATAPI-CD - ROM DRIVE-50MAX	+12	5	100%
ATAPI-CD - ROM-DRIVE-48MAX	+691	2	100%
ATAPI-CD - ROM-DRIVE-50MAX	+12	12	100%
ATAPI-CD - ROM-DRIVE-56MAX	+12	18	100%
